               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.037437,            0.025503,           0.0049782,             0.64491,             0.67265,             0.68688,             0.40204,            0.032192,            0.015615,            0.003561,             0.00763,             0.00763,             0.00763
                  81,            0.038572,            0.025131,           0.0049672,              0.7553,             0.63784,             0.68638,             0.40228,             0.03153,            0.015895,           0.0039963,              0.0076,              0.0076,              0.0076
                  82,             0.03697,            0.025918,           0.0047041,             0.62954,             0.69459,             0.71265,              0.4366,            0.029993,            0.015437,           0.0039109,             0.00757,             0.00757,             0.00757
                  83,            0.036949,            0.025569,           0.0049343,              0.5556,             0.69655,             0.69962,             0.42891,            0.030021,            0.015387,           0.0038297,             0.00754,             0.00754,             0.00754
                  84,            0.037141,             0.02376,           0.0047355,             0.74375,             0.66019,             0.73541,             0.45508,            0.030596,            0.015446,           0.0034904,             0.00751,             0.00751,             0.00751
                  85,            0.036947,            0.025051,            0.004983,             0.64851,             0.74024,             0.72954,             0.44998,            0.030265,            0.015435,           0.0032186,             0.00748,             0.00748,             0.00748
                  86,            0.037661,            0.027787,           0.0048733,             0.58446,             0.71346,             0.71157,             0.43882,              0.0307,            0.015647,           0.0036857,             0.00745,             0.00745,             0.00745
                  87,            0.036961,            0.026574,           0.0048339,             0.60218,             0.73393,             0.71385,             0.44029,            0.030678,            0.015395,           0.0034722,             0.00742,             0.00742,             0.00742
                  88,            0.036075,            0.025693,           0.0046029,             0.71959,             0.69413,             0.73615,             0.45381,            0.030339,            0.015052,           0.0034832,             0.00739,             0.00739,             0.00739
                  89,            0.035413,            0.025411,           0.0047668,             0.58916,             0.69615,             0.70683,             0.43075,            0.030952,            0.015246,           0.0036207,             0.00736,             0.00736,             0.00736
                  90,            0.036475,            0.024174,           0.0047481,             0.76083,             0.67645,              0.7292,             0.43982,            0.031337,             0.01564,            0.003575,             0.00733,             0.00733,             0.00733
                  91,            0.036136,            0.023796,           0.0043168,             0.75671,             0.62618,             0.68483,             0.41304,            0.030468,            0.015559,           0.0039169,              0.0073,              0.0073,              0.0073
                  92,            0.035189,            0.024247,           0.0049546,             0.81172,             0.68248,             0.74096,             0.46875,            0.030313,            0.015148,           0.0034648,             0.00727,             0.00727,             0.00727
                  93,            0.036447,            0.025847,           0.0047514,              0.8151,             0.65476,             0.72459,             0.45699,            0.030201,            0.015232,           0.0031585,             0.00724,             0.00724,             0.00724
                  94,            0.036564,            0.026351,           0.0050889,             0.66982,             0.74821,             0.74736,             0.45336,            0.030668,            0.015463,           0.0035687,             0.00721,             0.00721,             0.00721
                  95,            0.035929,            0.024668,           0.0048362,             0.64315,             0.74975,             0.73454,             0.45998,            0.030338,            0.015479,           0.0032797,             0.00718,             0.00718,             0.00718
                  96,            0.036142,            0.024282,           0.0047898,             0.58202,             0.69349,             0.70702,             0.42851,            0.030526,            0.015255,           0.0038475,             0.00715,             0.00715,             0.00715
                  97,            0.036131,            0.025159,            0.005011,             0.72039,             0.69731,              0.7509,             0.47528,            0.028996,            0.015026,           0.0032076,             0.00712,             0.00712,             0.00712
                  98,            0.035117,             0.02496,           0.0048171,              0.7625,             0.66526,             0.71254,             0.43805,            0.029101,            0.015078,           0.0035564,             0.00709,             0.00709,             0.00709
                  99,            0.035719,            0.025675,           0.0045753,             0.66777,             0.68521,             0.71736,              0.4447,            0.029896,            0.015229,           0.0035474,             0.00706,             0.00706,             0.00706
                 100,            0.035116,            0.023974,           0.0045771,             0.66204,             0.71834,             0.73564,             0.46255,            0.029299,            0.015059,           0.0033037,             0.00703,             0.00703,             0.00703
                 101,            0.036715,            0.024757,           0.0048051,             0.57165,             0.74501,             0.74178,             0.46738,             0.02956,             0.01513,            0.003448,               0.007,               0.007,               0.007
                 102,            0.034784,            0.024621,           0.0044303,             0.63327,             0.74793,             0.75489,             0.47992,            0.028994,            0.015222,           0.0034044,             0.00697,             0.00697,             0.00697
                 103,            0.035867,            0.024509,           0.0046614,             0.79992,             0.68785,             0.75607,              0.4785,            0.028724,            0.015135,            0.003307,             0.00694,             0.00694,             0.00694
                 104,            0.033474,            0.023672,           0.0043759,             0.86085,             0.67675,             0.77529,             0.50363,            0.029447,            0.014949,           0.0031674,             0.00691,             0.00691,             0.00691
                 105,            0.034997,             0.02332,           0.0044424,             0.83136,             0.65005,              0.7205,             0.45721,            0.029463,            0.014823,           0.0036716,             0.00688,             0.00688,             0.00688
                 106,            0.033907,            0.023997,           0.0041474,             0.77368,             0.72082,             0.74944,             0.46144,            0.029537,            0.015035,            0.003339,             0.00685,             0.00685,             0.00685
                 107,            0.035098,            0.025034,           0.0040882,             0.68827,             0.75146,             0.74098,             0.47712,            0.029611,            0.014831,           0.0031409,             0.00682,             0.00682,             0.00682
                 108,            0.034906,            0.022715,           0.0044589,             0.72397,             0.74352,             0.77746,              0.4914,            0.028783,            0.014723,           0.0031565,             0.00679,             0.00679,             0.00679
                 109,            0.034105,            0.025067,           0.0043637,             0.69818,              0.7632,             0.76276,             0.48048,            0.028711,            0.014824,           0.0031085,             0.00676,             0.00676,             0.00676
                 110,            0.034796,            0.023491,            0.004479,             0.82306,             0.71258,             0.77498,             0.49326,            0.029142,            0.014878,           0.0029319,             0.00673,             0.00673,             0.00673
                 111,            0.035399,            0.025091,           0.0045805,             0.74663,             0.71574,             0.76315,             0.49106,            0.029108,            0.014892,            0.003339,              0.0067,              0.0067,              0.0067
                 112,             0.03452,            0.025184,           0.0045415,             0.72367,             0.73675,             0.75507,             0.47526,            0.029154,             0.01512,           0.0029605,             0.00667,             0.00667,             0.00667
                 113,            0.035805,            0.026535,           0.0041807,              0.7611,             0.71516,             0.75475,             0.48827,            0.028723,            0.014874,           0.0030996,             0.00664,             0.00664,             0.00664
                 114,            0.034959,            0.025622,           0.0044198,              0.8116,              0.7323,             0.76147,             0.48403,            0.029683,            0.014895,           0.0028807,             0.00661,             0.00661,             0.00661
                 115,            0.035081,            0.025135,           0.0045896,             0.85805,              0.6763,             0.75274,             0.48296,            0.029364,            0.014736,           0.0030929,             0.00658,             0.00658,             0.00658
                 116,            0.034648,            0.023394,            0.004409,             0.75911,             0.72613,             0.76556,             0.49918,            0.028809,            0.014593,            0.003232,             0.00655,             0.00655,             0.00655
                 117,            0.034341,            0.024778,           0.0045597,             0.70687,             0.74313,              0.7425,             0.47659,            0.028688,            0.014737,            0.003483,             0.00652,             0.00652,             0.00652
                 118,              0.0341,            0.024404,           0.0041867,             0.75426,              0.7259,             0.76141,             0.49253,            0.028141,            0.015106,           0.0032431,             0.00649,             0.00649,             0.00649
                 119,             0.03415,            0.025547,           0.0042837,             0.84074,             0.67667,             0.73758,             0.48437,            0.027963,             0.01457,           0.0035357,             0.00646,             0.00646,             0.00646
                 120,            0.034535,            0.023325,           0.0044836,             0.63024,             0.75437,             0.75155,             0.47839,            0.029117,            0.014816,           0.0032323,             0.00643,             0.00643,             0.00643
                 121,            0.035291,            0.025025,           0.0045118,             0.70848,             0.73894,             0.79008,              0.5091,             0.02846,            0.014795,           0.0030733,              0.0064,              0.0064,              0.0064
                 122,            0.033351,            0.024482,           0.0041751,             0.84916,             0.72874,             0.76803,             0.50356,            0.028497,            0.014723,           0.0032279,             0.00637,             0.00637,             0.00637
                 123,            0.035243,             0.02347,            0.004289,             0.77426,             0.74584,             0.76148,             0.47932,            0.029162,            0.014986,           0.0030126,             0.00634,             0.00634,             0.00634
                 124,            0.034108,            0.024752,            0.004424,             0.79833,             0.70755,             0.73876,             0.47388,            0.029018,            0.014883,           0.0033685,             0.00631,             0.00631,             0.00631
                 125,            0.034571,            0.025179,           0.0042077,             0.74667,             0.73845,             0.77791,             0.50205,            0.028979,             0.01509,           0.0028698,             0.00628,             0.00628,             0.00628
                 126,            0.033172,            0.023449,           0.0038389,             0.73646,             0.68841,             0.73922,             0.48016,            0.028593,            0.014697,           0.0035698,             0.00625,             0.00625,             0.00625
                 127,            0.034412,            0.023091,            0.004131,             0.85871,             0.68092,             0.76278,             0.49628,            0.028131,            0.015027,           0.0029585,             0.00622,             0.00622,             0.00622
                 128,              0.0342,            0.024567,            0.004339,             0.74722,             0.77658,             0.78555,              0.5002,            0.029055,            0.014797,           0.0034185,             0.00619,             0.00619,             0.00619
                 129,            0.033644,             0.02403,            0.004426,             0.68959,             0.77326,             0.75288,             0.48157,            0.029172,            0.014711,           0.0033812,             0.00616,             0.00616,             0.00616
                 130,            0.033462,            0.023597,           0.0041139,              0.7982,             0.73533,             0.76668,             0.48956,            0.028994,            0.014669,           0.0034073,             0.00613,             0.00613,             0.00613
                 131,            0.033213,            0.023984,           0.0037089,             0.81955,             0.69865,             0.76778,             0.49497,            0.028772,            0.014633,           0.0029269,              0.0061,              0.0061,              0.0061
                 132,             0.03388,            0.023372,           0.0039913,             0.87132,             0.65787,             0.74169,             0.46965,            0.027819,            0.014711,           0.0029238,             0.00607,             0.00607,             0.00607
                 133,            0.032756,            0.023478,           0.0039544,             0.73134,             0.76674,             0.79451,               0.523,            0.028641,             0.01456,           0.0031312,             0.00604,             0.00604,             0.00604
                 134,            0.033865,            0.025994,           0.0038551,             0.83875,             0.74366,             0.81829,             0.55421,             0.02786,            0.014396,           0.0025773,             0.00601,             0.00601,             0.00601
                 135,            0.033276,            0.022799,           0.0039371,             0.74691,             0.77153,             0.79807,             0.51557,            0.028265,            0.014403,           0.0029695,             0.00598,             0.00598,             0.00598
                 136,            0.034408,            0.023967,           0.0041783,             0.88102,             0.68428,             0.75815,             0.49041,            0.028654,            0.014296,           0.0032686,             0.00595,             0.00595,             0.00595
                 137,            0.033983,            0.024219,           0.0040967,             0.70052,             0.72394,             0.74789,             0.48117,            0.028444,            0.015117,           0.0032057,             0.00592,             0.00592,             0.00592
                 138,            0.032729,            0.023262,           0.0041314,             0.65427,             0.68832,             0.72717,             0.45392,            0.028729,            0.014637,           0.0035588,             0.00589,             0.00589,             0.00589
                 139,            0.034457,            0.022882,           0.0038469,             0.68656,             0.75127,             0.76055,             0.48427,            0.028809,            0.014454,           0.0030944,             0.00586,             0.00586,             0.00586
                 140,            0.033625,            0.024744,           0.0041455,             0.84585,             0.74272,             0.82274,             0.53993,            0.028341,            0.014532,           0.0028852,             0.00583,             0.00583,             0.00583
                 141,            0.033647,            0.023127,           0.0040749,             0.79876,             0.72271,             0.79159,             0.51813,            0.027896,            0.014308,           0.0026485,              0.0058,              0.0058,              0.0058
                 142,            0.033241,            0.023684,           0.0040623,             0.74599,             0.77432,             0.79248,             0.52076,            0.028058,            0.014085,           0.0028026,             0.00577,             0.00577,             0.00577
                 143,            0.033868,            0.023527,           0.0040726,             0.89206,             0.70951,             0.79923,             0.51962,            0.028962,            0.014345,           0.0027944,             0.00574,             0.00574,             0.00574
                 144,            0.032633,            0.022491,           0.0036952,             0.87319,             0.71157,             0.80813,             0.52509,            0.028618,            0.014523,           0.0026284,             0.00571,             0.00571,             0.00571
                 145,            0.032802,            0.023095,           0.0040301,             0.87928,             0.71667,             0.79535,             0.51928,            0.028362,            0.014468,           0.0027465,             0.00568,             0.00568,             0.00568
                 146,            0.032424,            0.022417,           0.0035974,             0.76949,             0.77354,             0.79379,             0.51632,            0.028409,            0.014372,           0.0027476,             0.00565,             0.00565,             0.00565
                 147,            0.033257,             0.02294,           0.0038115,              0.8822,             0.71947,             0.77948,              0.5044,            0.028379,            0.014522,           0.0031931,             0.00562,             0.00562,             0.00562
                 148,            0.032589,            0.023212,           0.0037945,             0.88575,             0.71972,             0.76992,             0.50241,            0.028382,            0.014318,           0.0032032,             0.00559,             0.00559,             0.00559
                 149,            0.032466,            0.023284,           0.0034617,             0.83733,             0.74305,             0.79858,             0.52297,            0.028654,            0.014555,           0.0027721,             0.00556,             0.00556,             0.00556
                 150,            0.033636,               0.024,           0.0039684,             0.73945,             0.77079,             0.77728,              0.5083,            0.028327,            0.014467,           0.0030546,             0.00553,             0.00553,             0.00553
                 151,            0.032331,            0.022308,             0.00403,             0.85469,             0.74489,             0.79686,             0.51765,            0.028005,            0.014561,           0.0029528,              0.0055,              0.0055,              0.0055
                 152,            0.032623,            0.023276,           0.0037604,             0.84189,             0.74068,             0.79443,             0.51314,            0.028412,            0.014371,           0.0027089,             0.00547,             0.00547,             0.00547
                 153,             0.03323,            0.022865,           0.0036136,             0.86399,             0.73705,             0.79009,             0.51867,            0.028029,            0.014194,           0.0028401,             0.00544,             0.00544,             0.00544
                 154,            0.032843,            0.022802,           0.0036196,             0.89325,             0.70017,             0.78136,             0.51669,            0.028231,             0.01443,           0.0028058,             0.00541,             0.00541,             0.00541
                 155,            0.032115,            0.022538,           0.0038784,             0.76732,             0.74553,              0.7686,             0.49722,            0.028191,            0.014523,           0.0031284,             0.00538,             0.00538,             0.00538
                 156,            0.031658,            0.023818,           0.0038222,             0.82576,             0.76934,             0.78756,              0.5214,            0.027997,            0.014422,           0.0027836,             0.00535,             0.00535,             0.00535
                 157,             0.03265,            0.024155,            0.004054,              0.9015,             0.74827,             0.80028,             0.52325,            0.027868,            0.014665,           0.0028482,             0.00532,             0.00532,             0.00532
                 158,            0.032983,            0.023515,           0.0037076,              0.8229,             0.74211,              0.7909,             0.51017,             0.02847,            0.014446,           0.0027763,             0.00529,             0.00529,             0.00529
                 159,            0.032765,            0.022527,           0.0037943,             0.87832,             0.77361,             0.81332,             0.51968,            0.028666,              0.0144,           0.0026825,             0.00526,             0.00526,             0.00526
                 160,            0.032319,            0.022802,           0.0038291,             0.91635,             0.72563,             0.80937,             0.51713,            0.028772,            0.014656,            0.002534,             0.00523,             0.00523,             0.00523
