,title,link,channel,views,time_published,snippet,verified_badge,extensions
65,Masks should only be worn by the sick,https://www.youtube.com/watch?v=Ed6uDDHzYnU,"{'channel_name': 'govsg', 'channel_link': 'https://www.youtube.com/c/govsingapore'}",6.8K views,2 years ago,"Singaporeans who are well should observe proper personal hygiene practices, such as frequent hand washing with soap. At the ...",True,
66,"Katt Williams Talks About Kevin Hart Wearing A Dress, Illuminati and Scary Movie 5",https://www.youtube.com/watch?v=P2kHj8RCsjI,"{'channel_name': 'BlackTree TV', 'channel_link': 'https://www.youtube.com/c/blacktreemedia'}",3.8M views,9 years ago,Katt Williams sat down with BlackTree TV for an exclusive interview at BlackTree TV Studios. He discusses Kevin Hart wearing a ...,True,
67,How To Prevent Makeup SMUDGING! Mask Friendly Makeup,https://www.youtube.com/watch?v=XErqb6mKAhA,"{'channel_name': 'Jackie Aina', 'channel_link': 'https://www.youtube.com/makeupgameonpoint'}",1.4M views,1 year ago,,True,4K
68,How wearing a mask below your nose can make you more vulnerable to COVID-19 l GMA,https://www.youtube.com/watch?v=s444-68jDjY,"{'channel_name': 'Good Morning America', 'channel_link': 'https://www.youtube.com/c/GMA'}",17K views,1 year ago,#GMA #COVID19 #FaceMask #HalfMask #UNC.,True,
69,WHAT! Medieval armor worse than wearing nothing?! REPLY to Weird History,https://www.youtube.com/watch?v=oB4sIeFsvTQ,"{'channel_name': 'Shadiversity', 'channel_link': 'https://www.youtube.com/user/shadmbrooks'}",500K views,2 months ago,,True,
70,Wrong Turn Official Trailer (2021),https://www.youtube.com/watch?v=rDdGpjjtq-o,"{'channel_name': 'Saban Films', 'channel_link': 'https://www.youtube.com/channel/UCkaUErzjD9UUM8D-loIm5vA'}",2M views,1 year ago,,,
71,How to tell if your respirator and N95-style mask is counterfeit or poor quality (Marketplace),https://www.youtube.com/watch?v=yHy937FF16o,"{'channel_name': 'CBC News', 'channel_link': 'https://www.youtube.com/c/CBCNews'}",1M views,1 year ago,,True,CC
72,PJ Masks Full Episodes Season 3 ⭐️ Baby PJs!!!!! ⭐️ PJ Masks New Compilation 2019,https://www.youtube.com/watch?v=Fsfh3C0uR6I,"{'channel_name': 'PJ Masks Season 3', 'channel_link': 'https://www.youtube.com/channel/UCNySoZ-ZZIoOabLhqIAlDgA'}",20M views,2 years ago,Watch ALL episodes from PJ Masks Season 3 HERE!!!! All FULL EPISODES and compilations of the BEST EPISODES EVER!,,
73,March 2020: Dr. Anthony Fauci talks with Dr Jon LaPook about Covid-19,https://www.youtube.com/watch?v=PRa6t_e7dgI,"{'channel_name': '60 Minutes', 'channel_link': 'https://www.youtube.com/c/60minutes'}",1.5M views,2 years ago,"In March, Fauci told 60 Minutes that masks should largely be reserved for healthcare providers. In April, the recommendations ...",True,
74,Avengers Infinity Saga Deleted Scene - Doctor Strange Becomes Iron Man and Marvel Easter Eggs,https://www.youtube.com/watch?v=u9LmSYW7hYs,"{'channel_name': 'Emergency Awesome', 'channel_link': 'https://www.youtube.com/c/emergencyawesome'}",1.9M views,2 years ago,"Thor 4 Love and Thunder Easter Eggs. Doctor Strange 2 Multiverse of Madness Theory and Marvel Phase 4 changes, Avengers ...",True,CC
75,How to wear a mask properly,https://www.youtube.com/watch?v=sKF4Tm3Nm7I,"{'channel_name': 'ParkviewHealth', 'channel_link': 'https://www.youtube.com/user/ParkviewHealth'}",12K views,2 years ago,,,
76,part time went wrong. Face mask worn out. Car won't start.,https://www.youtube.com/watch?v=lj1r20fAcQ4,"{'channel_name': 'Madam Prez', 'channel_link': 'https://www.youtube.com/c/MadamPrez'}",411 views,1 year ago,,,
77,How to Wear a Surgical Mask,https://www.youtube.com/watch?v=qilLP_UnaHg,"{'channel_name': 'RafflesHospital', 'channel_link': 'https://www.youtube.com/user/RafflesHospital'}",681K views,2 years ago,"Wearing a surgical mask may seem easy, but do you know what are the Dos and Don'ts? Watch this video to learn the proper ...",,
78,How to Make a Decision You Won’t Regret Later – Sadhguru,https://www.youtube.com/watch?v=DXU_7TS8Kxk,"{'channel_name': 'Sadhguru', 'channel_link': 'https://www.youtube.com/c/sadhguru'}",4.8M views,3 years ago,How do you decide what goals to set in your life? Sadhguru looks at how we can make these decisions such that we don't take ...,True,CC
79,How Do You Spot A Fake Face Mask?,https://www.youtube.com/watch?v=FwGh3LHQrDg,"{'channel_name': 'CNA Insider', 'channel_link': 'https://www.youtube.com/cnaconnect'}",184K views,1 year ago,The sale of fake face masks is on the rise and it could endanger efforts to stem the spread of the #COVID19 outbreak.,True,
80,Everything Wrong With Scream in 16 Minutes Or Less,https://www.youtube.com/watch?v=BFKTuXb5eKI,"{'channel_name': 'CinemaSins', 'channel_link': 'https://www.youtube.com/user/CinemaSins'}",9M views,6 years ago,"Scream is considered a modern horror classic, but it still has sins (duh). Next week: A pair of timely sins videos. Remember, no ...",True,
81,Cloth surgical masks are no match for serious air pollution,https://www.youtube.com/watch?v=eytL9us8QS0,"{'channel_name': '民視英語新聞 Formosa TV English News', 'channel_link': 'https://www.youtube.com/c/FTVEnglishNews'}",5.3K views,4 years ago,"One way people in Taiwan have been combating air pollution is by wearing surgical masks. There are many types on the market, ...",,
82,Wrong Turn 2: Dead End (2007) KILL COUNT,https://www.youtube.com/watch?v=d-BGu4f82Io,"{'channel_name': 'Dead Meat', 'channel_link': 'https://www.youtube.com/c/DeadMeat'}",3M views,1 year ago,Kill Graphics and Numbers Icons made by Made In Graphics Team: Clara and Allie Dead Meat Podcast (Now back from hiatus!) ...,True,CC
